component,dimension,value,with_trades,without_trades,with_expectancy,without_expectancy,expectancy_lift,with_pf,without_pf,pf_lift
penalty_failed_retest,family,continuation,0,185,,5.925675675675675,,,1.3425513631747519,
penalty_htf_conflict,overall,all,0,1218,,1.7836617405582922,,,1.0999735397995927,
penalty_htf_conflict,year,2023,0,344,,2.9156976744186047,,,1.1748910200523104,
penalty_htf_conflict,year,2024,0,388,,0.17074742268041238,,,1.0095262060536343,
penalty_htf_conflict,year,2025,0,486,,2.2700617283950617,,,1.1220240564081294,
penalty_htf_conflict,direction,long,0,653,,2.9364471669218988,,,1.1697992074561112,
penalty_htf_conflict,direction,short,0,565,,0.45132743362831856,,,1.02442996742671,
penalty_htf_conflict,family,reversal,0,1033,,1.0418683446272992,,,1.0580799222902781,
penalty_htf_conflict,family,continuation,0,185,,5.925675675675675,,,1.3425513631747519,
penalty_major_obstacle,overall,all,15,1203,18.183333333333334,1.5791770573566084,16.604156275976724,2.2002200220022003,1.0883460831957588,1.1118739388064416
penalty_major_obstacle,year,2023,3,341,-25.25,3.1634897360703813,-28.41348973607038,0.0,1.1906171312453064,-1.1906171312453064
penalty_major_obstacle,year,2024,9,379,19.36111111111111,-0.2849604221635884,19.6460715332747,2.38019801980198,0.9841833559111046,1.3960146638908755
penalty_major_obstacle,year,2025,3,483,58.083333333333336,1.9233954451345756,56.15993788819876,7.900990099009901,1.103039041703638,6.797951057306263
penalty_major_obstacle,direction,long,7,646,-1.75,2.987229102167183,-4.737229102167182,0.902970297029703,1.1728160121792863,-0.26984571514958333
penalty_major_obstacle,direction,short,8,557,35.625,-0.05385996409335727,35.678859964093355,3.8217821782178216,0.9970978040050305,2.824684374212791
penalty_major_obstacle,family,reversal,15,1018,18.183333333333334,0.7892927308447937,17.39404060248854,2.2002200220022003,1.0438993075000342,1.1563207145021661
penalty_major_obstacle,family,continuation,0,185,,5.925675675675675,,,1.3425513631747519,
penalty_snr_conflict,overall,all,100,1118,-6.15,2.4932915921288012,-8.6432915921288,0.6783052177324441,1.1406478631616126,-0.4623426454291685
penalty_snr_conflict,year,2023,26,318,-13.932692307692308,4.293238993710692,-18.225931301403,0.3475911751463305,1.2635744968386504,-0.9159833216923199
penalty_snr_conflict,year,2024,30,358,-4.75,0.5831005586592178,-5.3331005586592175,0.7228974234321828,1.0324133379915377,-0.3095159145593549
penalty_snr_conflict,year,2025,44,442,-2.5056818181818183,2.745475113122172,-5.25115693130399,0.8691006233303651,1.1480058543724845,-0.2789052310421194
penalty_snr_conflict,direction,long,56,597,-2.9955357142857144,3.4928810720268006,-6.488416786312515,0.8348104382077794,1.202899608358267,-0.3680891701504876
penalty_snr_conflict,direction,short,44,521,-10.164772727272727,1.3478886756238004,-11.512661402896526,0.500976290097629,1.0735976105012184,-0.5726213204035894
